6/16/2011,2:38:18 PM
Timestep(s)=0.020000
PM31,PM162,Ch 3,Ch 3,CA_Pulse
-0.0119,-0.0201,0.0003,0.0000,-8.9511
-0.0113,-0.0198,0.0003,0.0006,-8.9511
-0.0107,-0.0201,0.0006,0.0006,-8.9514
-0.0113,-0.0198,0.0003,0.0006,-8.9514
-0.0116,-0.0201,0.0003,0.0006,-8.9514
-0.0113,-0.0201,0.0003,0.0006,-8.9514
-0.0104,-0.0198,0.0003,0.0006,-8.9514
-0.0113,-0.0198,0.0003,0.0006,-8.9514
-0.0116,-0.0201,0.0003,0.0006,-8.9514
-0.0119,-0.0211,0.0006,0.0006,-8.9514
-0.0116,-0.0208,0.0003,0.0000,-8.9514
-0.0107,-0.0195,0.0003,0.0006,-8.9514
-0.0113,-0.0198,0.0003,0.0006,-8.9514
-0.0116,-0.0201,0.0003,0.0006,-8.9514
-0.0113,-0.0198,0.0003,0.0006,-8.9514
-0.0113,-0.0198,0.0003,0.0006,-8.9517
-0.0107,-0.0195,0.0006,0.0006,-8.9517
-0.0113,-0.0198,0.0003,0.0000,-8.9517
-0.0119,-0.0208,0.0003,0.0006,-8.9517
-0.0098,-0.0180,0.0003,0.0006,-8.9517
-0.0082,-0.0174,0.0003,0.0006,-8.9517
-0.0073,-0.0174,0.0003,0.0009,-8.9523
-0.0079,-0.0174,0.0003,0.0000,-8.9523
-0.0040,-0.0122,0.0003,0.0006,-8.9517
-0.0055,-0.0134,0.0006,0.0006,-8.9517
-0.0034,-0.0140,0.0003,0.0006,-8.9523
-0.0040,-0.0140,0.0003,0.0000,-8.9523
-0.0073,-0.0146,0.0003,0.0000,-8.9523
-0.0073,-0.0146,0.0006,0.0006,-8.9523
-0.0058,-0.0153,0.0003,0.0006,-8.9523
-0.0037,-0.0153,0.0003,0.0006,-8.9526
-0.0046,-0.0159,0.0003,0.0000,-8.9523
-0.0073,-0.0156,0.0003,0.0006,-8.9526
-0.0049,-0.0159,0.0003,0.0000,-8.9526
-0.0067,-0.0150,0.0003,0.0006,-8.9523
-0.0067,-0.0150,0.0003,0.0000,-8.9526
-0.0061,-0.0153,0.0003,0.0006,-8.9526
-0.0055,-0.0146,0.0003,0.0006,-8.9526
-0.0015,-0.0153,0.0003,0.0000,-8.9526
-0.0049,-0.0146,0.0003,0.0006,-8.9529
-0.0055,-0.0146,0.0003,0.0006,-8.9526
-0.0037,-0.0153,0.0006,0.0006,-8.9529
-0.0061,-0.0156,0.0003,0.0006,-8.9526
-0.0058,-0.0156,0.0003,0.0006,-8.9529
-0.0040,-0.0162,0.0003,0.0006,-8.9529
-0.0055,-0.0156,0.0003,0.0000,-8.9529
-0.0043,-0.0150,0.0003,0.0006,-8.9526
-0.0034,-0.0153,0.0000,0.0000,-8.9526
-0.0034,-0.0146,0.0003,0.0000,-8.9532
-0.0034,-0.0156,0.0003,0.0009,-8.9532
-0.0055,-0.0159,0.0003,0.0006,-8.9532
-0.0061,-0.0150,0.0003,0.0006,-8.9532
-0.0055,-0.0156,0.0003,0.0006,-8.9529
-0.0104,-0.0153,0.0003,0.0000,-8.9532
-0.0049,-0.0168,0.0003,0.0006,-8.9536
-0.0061,-0.0137,0.0003,0.0000,-8.9529
-0.0021,-0.0131,0.0003,0.0006,-8.9532
-0.0061,-0.0153,0.0003,0.0000,-8.9532
-0.0067,-0.0159,0.0006,0.0006,-8.9532
-0.0040,-0.0156,0.0003,0.0009,-8.9532
-0.0101,-0.0153,0.0003,0.0006,-8.9536
-0.0085,-0.0168,0.0003,0.0000,-8.9536
-0.0015,-0.0171,0.0003,0.0006,-8.9536
-0.0055,-0.0156,0.0003,0.0000,-8.9536
-0.0064,-0.0168,0.0003,0.0006,-8.9536
-0.0055,-0.0156,0.0003,0.0006,-8.9536
-0.0015,-0.0128,0.0003,0.0000,-8.9532
0.0043,-0.0113,0.0000,0.0006,-8.9536
0.0006,-0.0110,0.0003,0.0006,-8.9536
-0.0021,-0.0095,0.0003,0.0006,-8.9536
0.0104,-0.0085,0.0003,0.0006,-8.9536
0.0156,-0.0073,0.0003,0.0006,-8.9542
0.0177,-0.0052,0.0003,0.0000,-8.9536
0.0128,-0.0061,0.0006,0.0006,-8.9542
0.0159,-0.0058,0.0003,0.0000,-8.9542
0.0256,-0.0049,0.0003,0.0000,-8.9542
0.0201,-0.0046,0.0003,0.0000,-8.9542
0.0217,-0.0049,0.0003,0.0006,-8.9545
0.0159,-0.0046,0.0000,0.0000,-8.9542
0.0235,-0.0079,0.0003,0.0000,-8.9542
0.0220,-0.0076,0.0003,0.0000,-8.9545
0.0204,-0.0085,0.0003,0.0000,-8.9545
0.0208,-0.0089,0.0003,0.0006,-8.9545
0.0183,-0.0092,0.0000,0.0000,-8.9545
0.0195,-0.0095,0.0003,0.0000,-8.9545
0.0195,-0.0089,0.0003,0.0006,-8.9545
0.0186,-0.0092,0.0003,0.0000,-8.9545
0.0174,-0.0092,0.0003,0.0006,-8.9545
0.0204,-0.0095,0.0000,0.0000,-8.9545
0.0247,-0.0098,0.0003,0.0009,-8.9545
0.0195,-0.0101,0.0003,0.0006,-8.9545
0.0220,-0.0095,0.0003,0.0006,-8.9545
0.0259,-0.0107,0.0003,0.0000,-8.9545
0.0229,-0.0107,0.0003,0.0006,-8.9548
0.0244,-0.0101,0.0003,0.0006,-8.9548
0.0220,-0.0098,0.0003,0.0006,-8.9548
0.0241,-0.0098,0.0003,0.0006,-8.9548
0.0235,-0.0110,0.0000,0.0006,-8.9551
0.0241,-0.0110,0.0003,0.0006,-8.9551
0.0259,-0.0113,0.0003,0.0000,-8.9548
0.0262,-0.0113,0.0003,0.0000,-8.9551
0.0308,-0.0116,0.0003,0.0000,-8.9548
0.0323,-0.0119,0.0000,0.0006,-8.9551
0.0305,-0.0128,0.0000,0.0006,-8.9551
0.0336,-0.0119,0.0003,0.0000,-8.9551
0.0360,-0.0122,0.0003,0.0006,-8.9551
0.0351,-0.0122,0.0003,0.0000,-8.9551
0.0369,-0.0128,0.0003,0.0006,-8.9554
0.0299,-0.0131,0.0006,0.0006,-8.9551
0.0348,-0.0131,0.0006,0.0006,-8.9551
0.0345,-0.0137,0.0003,0.0000,-8.9551
0.0348,-0.0137,0.0003,0.0006,-8.9554
0.0336,-0.0140,0.0003,0.0000,-8.9551
0.0366,-0.0150,0.0003,0.0006,-8.9551
0.0418,-0.0140,0.0003,0.0006,-8.9551
0.0418,-0.0140,0.0003,0.0006,-8.9554
0.0342,-0.0146,0.0003,0.0000,-8.9554
0.0320,-0.0146,0.0003,0.0006,-8.9554
0.0378,-0.0153,0.0003,0.0006,-8.9554
0.0391,-0.0146,0.0000,0.0009,-8.9554
0.0336,-0.0150,0.0003,0.0000,-8.9554
0.0339,-0.0156,0.0003,0.0006,-8.9554
0.0357,-0.0162,0.0003,0.0000,-8.9557
0.0424,-0.0156,0.0003,0.0000,-8.9557
0.0342,-0.0168,0.0000,0.0000,-8.9557
0.0351,-0.0171,0.0003,0.0000,-8.9557
0.0406,-0.0159,0.0000,0.0000,-8.9557
0.0369,-0.0174,0.0003,0.0000,-8.9557
0.0385,-0.0174,0.0000,0.0006,-8.9554
0.0385,-0.0171,0.0003,0.0000,-8.9557
0.0381,-0.0168,0.0003,0.0000,-8.9557
0.0418,-0.0171,0.0003,0.0006,-8.9557
0.0400,-0.0174,0.0003,0.0006,-8.9563
0.0446,-0.0180,0.0003,0.0000,-8.9563
0.0476,-0.0171,0.0003,0.0000,-8.9563
0.0500,-0.0174,0.0003,0.0006,-8.9557
0.0443,-0.0180,0.0003,0.0006,-8.9563
0.0476,-0.0186,0.0003,0.0000,-8.9563
0.0504,-0.0180,0.0003,0.0006,-8.9563
0.0479,-0.0180,0.0003,0.0006,-8.9566
0.0531,-0.0177,0.0003,0.0000,-8.9563
0.0565,-0.0177,0.0003,0.0006,-8.9563
0.0513,-0.0180,0.0003,0.0006,-8.9566
0.0592,-0.0180,0.0003,0.0006,-8.9563
0.0546,-0.0189,0.0003,0.0006,-8.9566
0.0571,-0.0198,0.0003,0.0006,-8.9566
0.0562,-0.0192,0.0003,0.0006,-8.9566
0.0586,-0.0195,0.0003,0.0000,-8.9566
0.0644,-0.0195,0.0003,0.0006,-8.9566
0.0613,-0.0201,0.0000,0.0006,-8.9569
0.0671,-0.0189,0.0003,0.0006,-8.9566
0.0610,-0.0195,0.0000,0.0006,-8.9566
0.0665,-0.0195,0.0003,0.0006,-8.9566
0.0644,-0.0201,0.0003,0.0000,-8.9566
0.0687,-0.0198,0.0003,0.0006,-8.9569
0.0629,-0.0201,0.0003,0.0000,-8.9569
0.0726,-0.0208,0.0003,0.0006,-8.9569
0.0668,-0.0211,0.0003,0.0000,-8.9569
0.0699,-0.0211,0.0003,0.0000,-8.9572
0.0674,-0.0211,0.0003,0.0000,-8.9572
0.0745,-0.0201,0.0003,0.0000,-8.9569
0.0705,-0.0201,0.0003,0.0000,-8.9572
0.0751,-0.0208,0.0003,0.0006,-8.9569
0.0711,-0.0214,0.0003,0.0006,-8.9572
0.0705,-0.0217,0.0003,0.0000,-8.9572
0.0787,-0.0211,0.0000,0.0006,-8.9569
0.0769,-0.0214,0.0000,0.0006,-8.9572
0.0711,-0.0214,0.0006,0.0000,-8.9572
0.0708,-0.0223,0.0003,0.0000,-8.9572
0.0699,-0.0223,0.0003,0.0000,-8.9572
0.0784,-0.0217,0.0003,0.0006,-8.9572
0.0705,-0.0223,0.0003,0.0000,-8.9575
0.0705,-0.0211,0.0003,0.0006,-8.9575
0.0729,-0.0220,0.0003,0.0000,-8.9572
0.0714,-0.0223,0.0000,0.0000,-8.9575
0.0726,-0.0223,0.0003,0.0000,-8.9575
0.0708,-0.0232,0.0003,0.0006,-8.9581
0.0784,-0.0220,0.0000,0.0000,-8.9575
0.0714,-0.0232,0.0003,0.0006,-8.9575
0.0711,-0.0229,0.0003,0.0006,-8.9581
0.0769,-0.0232,0.0003,0.0006,-8.9575
0.0705,-0.0232,0.0000,0.0000,-8.9575
0.0714,-0.0232,0.0003,0.0006,-8.9581
0.0806,-0.0220,0.0003,0.0000,-8.9581
0.0729,-0.0235,0.0000,0.0000,-8.9575
0.0800,-0.0229,0.0003,0.0006,-8.9581
0.0766,-0.0232,0.0003,0.0006,-8.9581
0.0729,-0.0241,0.0003,0.0006,-8.9581
0.0781,-0.0241,0.0003,0.0000,-8.9584
0.0732,-0.0250,0.0000,0.0000,-8.9584
0.0723,-0.0232,0.0003,0.0000,-8.9584
0.0754,-0.0247,0.0003,-0.0003,-8.9584
0.0760,-0.0241,0.0003,0.0000,-8.9584
0.0800,-0.0238,0.0003,0.0006,-8.9581
0.0739,-0.0247,0.0003,0.0000,-8.9584
0.0821,-0.0238,0.0000,0.0006,-8.9584
0.0815,-0.0241,0.0003,0.0006,-8.9584
0.0687,-0.0253,0.0003,0.0006,-8.9584
0.0793,-0.0250,0.0003,0.0006,-8.9584
0.0787,-0.0253,0.0006,0.0006,-8.9584
0.0775,-0.0256,0.0003,0.0000,-8.9584
0.0742,-0.0253,0.0003,0.0000,-8.9587
0.0784,-0.0256,0.0000,0.0006,-8.9584
0.0766,-0.0256,0.0003,0.0006,-8.9587
0.0748,-0.0259,0.0003,0.0000,-8.9587
0.0830,-0.0253,0.0003,0.0006,-8.9590
0.0803,-0.0256,0.0003,0.0000,-8.9587
0.0742,-0.0269,0.0000,0.0000,-8.9587
0.0745,-0.0269,0.0003,0.0000,-8.9584
0.0830,-0.0259,0.0003,0.0006,-8.9587
0.0775,-0.0269,0.0003,0.0006,-8.9587
0.0729,-0.0272,0.0003,0.0000,-8.9587
0.0739,-0.0269,0.0003,0.0006,-8.9590
0.0839,-0.0262,0.0000,0.0006,-8.9590
